Vtable	Methods	Flags	Type	Hierarchy
01428C5AF8	9		NS_SPRJ::SprjFD4LocationDmypolySpace	NS_SPRJ::SprjFD4LocationDmypolySpace: NS_SPRJ::SprjFD4DmypolySpace;
01428BFB78	8		NS_SPRJ::SprjFD4LocationEntity	NS_SPRJ::SprjFD4LocationEntity: NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C06A8	8		NS_SPRJ::SprjFD4LocationExternalRigidArrayModifier	NS_SPRJ::SprjFD4LocationExternalRigidArrayModifier: NS_SPRJ::SprjFD4LocationModifier, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C0778	8		NS_SPRJ::SprjFD4LocationGxModelMatricesAndAabbExporter	NS_SPRJ::SprjFD4LocationGxModelMatricesAndAabbExporter: NS_SPRJ::SprjFD4LocationModifier, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C0818	2		NS_SPRJ::SprjFD4LocationGxModelMatricesAndAabbViewer	NS_SPRJ::SprjFD4LocationGxModelMatricesAndAabbViewer: NS_SPRJ::SprjFD4LocationModifier, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C08B8	8		NS_SPRJ::SprjFD4LocationHkaPoseImporter	NS_SPRJ::SprjFD4LocationHkaPoseImporter: NS_SPRJ::SprjFD4LocationModifier, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C11F8	5		NS_SPRJ::SprjFD4LocationImp	NS_SPRJ::SprjFD4LocationImp:
01428C0A28	8		NS_SPRJ::SprjFD4LocationMdlDmypolyModifier	NS_SPRJ::SprjFD4LocationMdlDmypolyModifier: NS_SPRJ::SprjFD4LocationModifier, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C0BE8	8		NS_SPRJ::SprjFD4LocationModelDispEntityAabbExporter	NS_SPRJ::SprjFD4LocationModelDispEntityAabbExporter: NS_SPRJ::SprjFD4LocationModifier, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C0C88	8		NS_SPRJ::SprjFD4LocationModelSpaceToWorldSpaceModifier	NS_SPRJ::SprjFD4LocationModelSpaceToWorldSpaceModifier: NS_SPRJ::SprjFD4LocationModifier, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C0D58	8		NS_SPRJ::SprjFD4LocationModifier	NS_SPRJ::SprjFD4LocationModifier: NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C0DF8	8		NS_SPRJ::SprjFD4LocationMsbPartsPoseModifier	NS_SPRJ::SprjFD4LocationMsbPartsPoseModifier: NS_SPRJ::SprjFD4LocationModifier, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428BFC18	8		NS_SPRJ::SprjFD4LocationMtx43ArrayEntity	NS_SPRJ::SprjFD4LocationMtx43ArrayEntity: NS_SPRJ::SprjFD4LocationMtxEntity, NS_SPRJ::SprjFD4LocationEntity, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428BFCE8	8		NS_SPRJ::SprjFD4LocationMtx44Entity	NS_SPRJ::SprjFD4LocationMtx44Entity: NS_SPRJ::SprjFD4LocationMtxEntity, NS_SPRJ::SprjFD4LocationEntity, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428BFDD8	8		NS_SPRJ::SprjFD4LocationMtxEntity	NS_SPRJ::SprjFD4LocationMtxEntity: NS_SPRJ::SprjFD4LocationEntity, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C1058	8		NS_SPRJ::SprjFD4LocationPose	NS_SPRJ::SprjFD4LocationPose: DLUT::DLReferenceCountObject;
01428C0E98	8		NS_SPRJ::SprjFD4LocationSfxInsNotifier	NS_SPRJ::SprjFD4LocationSfxInsNotifier: NS_SPRJ::SprjFD4LocationModifier, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C0F38	8		NS_SPRJ::SprjFD4LocationSoundInsNotifier	NS_SPRJ::SprjFD4LocationSoundInsNotifier: NS_SPRJ::SprjFD4LocationModifier, NS_SPRJ::SprjFD4LocationPose, DLUT::DLReferenceCountObject;
01428C1758	4		NS_SPRJ::SprjFD4LocationStep	NS_SPRJ::SprjFD4LocationStep: NS_SPRJ::SprjStepTask<NS_SPRJ::SprjFD4LocationStep>, FD4::FD4StepTaskBase<NS_SPRJ::SprjFD4LocationStep>, FD4::FD4StepTemplateBase<NS_SPRJ::SprjFD4LocationStep,FD4::FD4TaskBase>, FD4::FD4StepTemplateInterface<FD4::FD4TaskBase>, FD4::FD4TaskBase, FD4::FD4ComponentBase;
01428C60D0	9		NS_SPRJ::SprjFD4MdlLoTextureSet	NS_SPRJ::SprjFD4MdlLoTextureSet: GXBS::GXModelTextureSet, GXBS::GXNonAtomicReferenceCountObject;
01428C6178	9		NS_SPRJ::SprjFD4MdlMdTextureSet	NS_SPRJ::SprjFD4MdlMdTextureSet: GXBS::GXModelTextureSet, GXBS::GXNonAtomicReferenceCountObject;
01428C61F8	1		NS_SPRJ::SprjFD4MdlMtx	NS_SPRJ::SprjFD4MdlMtx:
01429098A0	2		NS_SPRJ::SprjFD4MobankId	NS_SPRJ::SprjFD4MobankId:
01429099A0	2		NS_SPRJ::SprjFD4MobankIdProvider	NS_SPRJ::SprjFD4MobankIdProvider:
0142909B70	2		NS_SPRJ::SprjFD4MobankRepositoryImp	NS_SPRJ::SprjFD4MobankRepositoryImp: FD4::FD4ResRep, FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
0142909E40	2		NS_SPRJ::SprjFD4MobankResCap	NS_SPRJ::SprjFD4MobankResCap: FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
014290A4D8	4		NS_SPRJ::SprjFD4MobankResCapTask	NS_SPRJ::SprjFD4MobankResCapTask: NS_SPRJ::SprjStepTask<NS_SPRJ::SprjFD4MobankResCapTask>, FD4::FD4StepTaskBase<NS_SPRJ::SprjFD4MobankResCapTask>, FD4::FD4StepTemplateBase<NS_SPRJ::SprjFD4MobankResCapTask,FD4::FD4TaskBase>, FD4::FD4StepTemplateInterface<FD4::FD4TaskBase>, FD4::FD4TaskBase, FD4::FD4ComponentBase;
01428C6518	1		NS_SPRJ::SprjFD4ModelDrawParam	NS_SPRJ::SprjFD4ModelDrawParam:
01428C6A18	9		NS_SPRJ::SprjFD4ModelItem	NS_SPRJ::SprjFD4ModelItem: GXSR::GXFlverModelDrawItemBase, GXBS::GXDrawItem;
01428C6CC0	8		NS_SPRJ::SprjFD4ModelVertexStreamPatch	NS_SPRJ::SprjFD4ModelVertexStreamPatch: GXBS::GXModelVertexStreamPatch;
01429065D8	9		NS_SPRJ::SprjFD4MultiSfxIns	NS_SPRJ::SprjFD4MultiSfxIns: NS_SPRJ::SprjFD4SfxIns, DLUT::DLReferenceCountObject;
01428B8278	10		NS_SPRJ::SprjFD4RemobndFileCap	NS_SPRJ::SprjFD4RemobndFileCap: FD4::FD4FileCap, FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
01428CB7C8	5		NS_SPRJ::SprjFD4SceneDrawParam	NS_SPRJ::SprjFD4SceneDrawParam:
01429067C8	9		NS_SPRJ::SprjFD4SfxIns	NS_SPRJ::SprjFD4SfxIns: DLUT::DLReferenceCountObject;
0142906950	7		NS_SPRJ::SprjFD4SfxModelAnim	NS_SPRJ::SprjFD4SfxModelAnim: GXFFX::GXFfxParticleAppearanceHost_Model, FFX::FXAppearanceHost;
0142906A38	9		NS_SPRJ::SprjFD4SingleSfxIns	NS_SPRJ::SprjFD4SingleSfxIns: NS_SPRJ::SprjFD4SfxIns, DLUT::DLReferenceCountObject;
014290AC30	2		NS_SPRJ::SprjFD4SoundImp	NS_SPRJ::SprjFD4SoundImp:
014290ADF8	9		NS_SPRJ::SprjFD4SoundIns	NS_SPRJ::SprjFD4SoundIns: DLUT::DLReferenceCountObject;
014290AFD8	9		NS_SPRJ::SprjFD4SystemSoundIns	NS_SPRJ::SprjFD4SystemSoundIns: NS_SPRJ::SprjFD4SoundIns, DLUT::DLReferenceCountObject;
01428C6210	2		NS_SPRJ::SprjFD4TempMdlMtx	NS_SPRJ::SprjFD4TempMdlMtx: NS_SPRJ::SprjFD4MdlMtx;
01428BEF18	2		NS_SPRJ::SprjFadeImp	NS_SPRJ::SprjFadeImp:
01428CB8F8	7		NS_SPRJ::SprjFfxFlverContainer	NS_SPRJ::SprjFfxFlverContainer: GXFFX::GXFfxFlverContainer;
01428CB968	6		NS_SPRJ::SprjFfxGxTextureRepository	NS_SPRJ::SprjFfxGxTextureRepository: GXBS::IGXTextureRepository;
01428CBAC8	12		NS_SPRJ::SprjFfxShaderContainer	NS_SPRJ::SprjFfxShaderContainer: GXUT::GXShaderContainer, GXBS::IGXShaderRepository;
01428CBBC0	10		NS_SPRJ::SprjFfxSoundManager	NS_SPRJ::SprjFfxSoundManager: GXFFX::GXFfxSoundManager;
0142722360	9		NS_SPRJ::SprjFgMdlTextureSet	NS_SPRJ::SprjFgMdlTextureSet: GXBS::GXModelTextureSet, GXBS::GXNonAtomicReferenceCountObject;
0142722408	8		NS_SPRJ::SprjFgModelVertexStreamPatch	NS_SPRJ::SprjFgModelVertexStreamPatch: NS_SPRJ::SprjFD4ModelVertexStreamPatch, GXBS::GXModelVertexStreamPatch;
014271CCA8	8		NS_SPRJ::SprjFileImp	NS_SPRJ::SprjFileImp: FD4::FD4FileManagerImp;
014271D210	6		NS_SPRJ::SprjFileSeed	NS_SPRJ::SprjFileSeed: FD4::FD4FileManagerSeed;
014271D9F8	4		NS_SPRJ::SprjFileStep	NS_SPRJ::SprjFileStep: NS_SPRJ::SprjStepTask<NS_SPRJ::SprjFileStep>, FD4::FD4StepTaskBase<NS_SPRJ::SprjFileStep>, FD4::FD4StepTemplateBase<NS_SPRJ::SprjFileStep,FD4::FD4TaskBase>, FD4::FD4StepTemplateInterface<FD4::FD4TaskBase>, FD4::FD4TaskBase, FD4::FD4ComponentBase;
01426C89A8	32		NS_SPRJ::SprjFixedPosTarget	NS_SPRJ::SprjFixedPosTarget: NS_SPRJ::SprjNullTargetAccessor, NS_SPRJ::SprjTargetAccessorBase;
0142925FD8	1		NS_SPRJ::SprjFlipperImp	NS_SPRJ::SprjFlipperImp:
01428C2398	21		NS_SPRJ::SprjFlverDrawSystem	NS_SPRJ::SprjFlverDrawSystem: GXSR::GXFlverDrawSystem;
01428C6D60	5		NS_SPRJ::SprjFlverModelContext	NS_SPRJ::SprjFlverModelContext:
01428C30D8	14		NS_SPRJ::SprjFlverResourceFactory	NS_SPRJ::SprjFlverResourceFactory: GXSR::GXFlverResourceFactory, GXBS::GXModelResourceFactory;
0142828138	1		NS_SPRJ::SprjGaitemImp	NS_SPRJ::SprjGaitemImp:
01428283A8	5		NS_SPRJ::SprjGaitemIns	NS_SPRJ::SprjGaitemIns:
0142828608	13		NS_SPRJ::SprjGemGaitemIns	NS_SPRJ::SprjGemGaitemIns: NS_SPRJ::SprjGaitemIns;
01428289C8	6		NS_SPRJ::SprjGemSlot	NS_SPRJ::SprjGemSlot:
0142828A80	8		NS_SPRJ::SprjGemSlotTable	NS_SPRJ::SprjGemSlotTable:
01426CBA58	6		NS_SPRJ::SprjGoalApproachStep	NS_SPRJ::SprjGoalApproachStep: NS_SPRJ::SprjGoalBase;
01426CBB58	10		NS_SPRJ::SprjGoalApproachTarget	NS_SPRJ::SprjGoalApproachTarget: NS_SPRJ::SprjGoalScript, NS_SPRJ::SprjGoalBase;
01426CBBE0	6		NS_SPRJ::SprjGoalBackToHome	NS_SPRJ::SprjGoalBackToHome: NS_SPRJ::SprjGoalBase;
01426CBDA0	6		NS_SPRJ::SprjGoalBase	NS_SPRJ::SprjGoalBase:
01426CC428	10		NS_SPRJ::SprjGoalCommonAttack	NS_SPRJ::SprjGoalCommonAttack: NS_SPRJ::SprjGoalScript, NS_SPRJ::SprjGoalBase;
01426CD950	2		NS_SPRJ::SprjGoalFunc	NS_SPRJ::SprjGoalFunc:
01426CC4B0	6		NS_SPRJ::SprjGoalGuard	NS_SPRJ::SprjGoalGuard: NS_SPRJ::SprjGoalBase;
01426CC608	6		NS_SPRJ::SprjGoalGuardBreakAttackBase	NS_SPRJ::SprjGoalGuardBreakAttackBase: NS_SPRJ::SprjGoalBase;
01426CC700	6		NS_SPRJ::SprjGoalKeepDist	NS_SPRJ::SprjGoalKeepDist: NS_SPRJ::SprjGoalBase;
01426CC7E8	6		NS_SPRJ::SprjGoalLeaveTarget	NS_SPRJ::SprjGoalLeaveTarget: NS_SPRJ::SprjGoalBase;
01426CC8E8	11		NS_SPRJ::SprjGoalMoveFollowPathSpecifyPos	NS_SPRJ::SprjGoalMoveFollowPathSpecifyPos: NS_SPRJ::SprjGoalRouteMoveBase, NS_SPRJ::SprjGoalBase;
01426CC978	10		NS_SPRJ::SprjGoalMoveFreeSpace	NS_SPRJ::SprjGoalMoveFreeSpace: NS_SPRJ::SprjGoalBase;
01426CCAA0	10		NS_SPRJ::SprjGoalMoveTargetRelationPos	NS_SPRJ::SprjGoalMoveTargetRelationPos: NS_SPRJ::SprjGoalBase;
01426CCC18	6		NS_SPRJ::SprjGoalMoveToSomewhere	NS_SPRJ::SprjGoalMoveToSomewhere: NS_SPRJ::SprjGoalBase;
01426CCD58	10		NS_SPRJ::SprjGoalMoveToSomewhereSmooth	NS_SPRJ::SprjGoalMoveToSomewhereSmooth: NS_SPRJ::SprjGoalBase;
01426CCC58	7		NS_SPRJ::SprjGoalMoveToSomewhere_RouteMove	NS_SPRJ::SprjGoalMoveToSomewhere_RouteMove: NS_SPRJ::SprjGoalRouteMoveBase, NS_SPRJ::SprjGoalBase;
01426CCCD0	10		NS_SPRJ::SprjGoalMoveToSomewhere_SpecifyMove	NS_SPRJ::SprjGoalMoveToSomewhere_SpecifyMove: NS_SPRJ::SprjGoalBase;
01426CCC98	6		NS_SPRJ::SprjGoalMoveToSomewhere_SwitchRouteMove	NS_SPRJ::SprjGoalMoveToSomewhere_SwitchRouteMove: NS_SPRJ::SprjGoalBase;
01426CCDE0	10		NS_SPRJ::SprjGoalNonBattleAct	NS_SPRJ::SprjGoalNonBattleAct: NS_SPRJ::SprjGoalScript, NS_SPRJ::SprjGoalBase;
01426CC640	6		NS_SPRJ::SprjGoalParry	NS_SPRJ::SprjGoalParry: NS_SPRJ::SprjGoalGuardBreakAttackBase, NS_SPRJ::SprjGoalBase;
01426CCE68	7		NS_SPRJ::SprjGoalRouteMoveBase	NS_SPRJ::SprjGoalRouteMoveBase: NS_SPRJ::SprjGoalBase;
01426CCF50	6		NS_SPRJ::SprjGoalScript	NS_SPRJ::SprjGoalScript: NS_SPRJ::SprjGoalBase;
01426CD0C0	6		NS_SPRJ::SprjGoalSidewayMove	NS_SPRJ::SprjGoalSidewayMove: NS_SPRJ::SprjGoalBase;
01426CD130	6		NS_SPRJ::SprjGoalSidewayMoveAngle	NS_SPRJ::SprjGoalSidewayMoveAngle: NS_SPRJ::SprjGoalBase;
01426CD0F8	6		NS_SPRJ::SprjGoalSidewayMoveAvoidChr	NS_SPRJ::SprjGoalSidewayMoveAvoidChr: NS_SPRJ::SprjGoalBase;
01426CD238	6		NS_SPRJ::SprjGoalSpinStep	NS_SPRJ::SprjGoalSpinStep: NS_SPRJ::SprjGoalBase;
01426CD378	6		NS_SPRJ::SprjGoalStay	NS_SPRJ::SprjGoalStay: NS_SPRJ::SprjGoalBase;
01426CD418	10		NS_SPRJ::SprjGoalWait	NS_SPRJ::SprjGoalWait: NS_SPRJ::SprjGoalBase;
01428CC920	1		NS_SPRJ::SprjGraphicsImp	NS_SPRJ::SprjGraphicsImp:
01428CD1C8	4		NS_SPRJ::SprjGraphicsStep	NS_SPRJ::SprjGraphicsStep: NS_SPRJ::SprjStepTask<NS_SPRJ::SprjGraphicsStep>, FD4::FD4StepTaskBase<NS_SPRJ::SprjGraphicsStep>, FD4::FD4StepTemplateBase<NS_SPRJ::SprjGraphicsStep,FD4::FD4TaskBase>, FD4::FD4StepTemplateInterface<FD4::FD4TaskBase>, FD4::FD4TaskBase, FD4::FD4ComponentBase;
01428BF050	7		NS_SPRJ::SprjGuiManagerImp	NS_SPRJ::SprjGuiManagerImp: FD4::FD4GUIManagerImp;
01428BF110	4		NS_SPRJ::SprjGuiManagerSeed	NS_SPRJ::SprjGuiManagerSeed: FD4::FD4GUIManagerSeed;
01428BF3D8	5		NS_SPRJ::SprjGuiShaderManager	NS_SPRJ::SprjGuiShaderManager: FD4::FD4GUISystem::ShaderManager;
01428BF548	5		NS_SPRJ::SprjGuiShaderManagerSeed	NS_SPRJ::SprjGuiShaderManagerSeed:
01428BF5D8	29		NS_SPRJ::SprjGuiSystem	NS_SPRJ::SprjGuiSystem: FD4::FD4GUISystem, GuiFramework::GUISystem, GuiFramework::GUIMsgReceiver, GuiFramework::GUIObject;
01428C9A50	2	M	NS_SPRJ::SprjGxResourceRepository	NS_SPRJ::SprjGxResourceRepository: GXBS::IGXResourceRepository, GXBS::IGXTextureRepository, GXBS::IGXShaderRepository;
01428C9A68	8	M	NS_SPRJ::SprjGxResourceRepository	GXBS::IGXShaderRepository:
01428C9B30	2	M	NS_SPRJ::SprjGxResourceRepository_forDecal	NS_SPRJ::SprjGxResourceRepository_forDecal: NS_SPRJ::SprjGxResourceRepository, GXBS::IGXResourceRepository, GXBS::IGXTextureRepository, GXBS::IGXShaderRepository;
01428C9B48	12	M	NS_SPRJ::SprjGxResourceRepository_forDecal	GXBS::IGXShaderRepository:
01428C9BE0	2	M	NS_SPRJ::SprjGxResourceRepository_forEnvmap	NS_SPRJ::SprjGxResourceRepository_forEnvmap: NS_SPRJ::SprjGxResourceRepository, GXBS::IGXResourceRepository, GXBS::IGXTextureRepository, GXBS::IGXShaderRepository;
01428C9BF8	12	M	NS_SPRJ::SprjGxResourceRepository_forEnvmap	GXBS::IGXShaderRepository:
01428C9C90	2	M	NS_SPRJ::SprjGxResourceRepository_forGparam	NS_SPRJ::SprjGxResourceRepository_forGparam: NS_SPRJ::SprjGxResourceRepository, GXBS::IGXResourceRepository, GXBS::IGXTextureRepository, GXBS::IGXShaderRepository;
01428C9CA8	12	M	NS_SPRJ::SprjGxResourceRepository_forGparam	GXBS::IGXShaderRepository:
01428C9D40	2	M	NS_SPRJ::SprjGxResourceRepository_forLightmap	NS_SPRJ::SprjGxResourceRepository_forLightmap: NS_SPRJ::SprjGxResourceRepository, GXBS::IGXResourceRepository, GXBS::IGXTextureRepository, GXBS::IGXShaderRepository;
01428C9D58	12	M	NS_SPRJ::SprjGxResourceRepository_forLightmap	GXBS::IGXShaderRepository:
01428C9DF0	2	M	NS_SPRJ::SprjGxResourceRepository_forPostProcess	NS_SPRJ::SprjGxResourceRepository_forPostProcess: NS_SPRJ::SprjGxResourceRepository, GXBS::IGXResourceRepository, GXBS::IGXTextureRepository, GXBS::IGXShaderRepository;
01428C9E08	12	M	NS_SPRJ::SprjGxResourceRepository_forPostProcess	GXBS::IGXShaderRepository:
01428CA3C8	21		NS_SPRJ::SprjGxTexture	NS_SPRJ::SprjGxTexture: GXBS::IGXTexture, GXBS::GXShaderResourceView, GXBS::GXNonAtomicReferenceCountObject;
01428D3568	2		NS_SPRJ::SprjHkAiCharacter	NS_SPRJ::SprjHkAiCharacter:
01428D3BF8	4	M	NS_SPRJ::SprjHkAiCharacterListener	NS_SPRJ::SprjHkAiCharacterListener: hkReferencedObject, hkBaseObject, hkaiCharacter::BehaviorListener;
01428D3C28	9	M	NS_SPRJ::SprjHkAiCharacterListener	hkaiCharacter::BehaviorListener:
01428D4D48	7		NS_SPRJ::SprjHkAiCostModifierInterface	NS_SPRJ::SprjHkAiCostModifierInterface: hkaiAstarCostModifier, hkReferencedObject, hkBaseObject;
01428D4FB8	7		NS_SPRJ::SprjHkAiEdgeFilterInterface	NS_SPRJ::SprjHkAiEdgeFilterInterface: hkaiAstarEdgeFilter, hkReferencedObject, hkBaseObject;
01428D5A98	1		NS_SPRJ::SprjHkAiGraph	NS_SPRJ::SprjHkAiGraph:
01428D5E90	1		NS_SPRJ::SprjHkAiNaviMesh	NS_SPRJ::SprjHkAiNaviMesh:
01428D5180	3		NS_SPRJ::SprjHkAiNaviMeshCostModifierBase	NS_SPRJ::SprjHkAiNaviMeshCostModifierBase:
01428D54C0	3		NS_SPRJ::SprjHkAiNaviMeshSectionTraverseCallback	NS_SPRJ::SprjHkAiNaviMeshSectionTraverseCallback: NS_SPRJ::SprjHkAiNaviMeshTraverseCallback;
01428D5720	3		NS_SPRJ::SprjHkAiNaviMeshTraverseCallback	NS_SPRJ::SprjHkAiNaviMeshTraverseCallback:
01428D4588	2		NS_SPRJ::SprjHkAiNvmRepositoryImp	NS_SPRJ::SprjHkAiNvmRepositoryImp: FD4::FD4ResRep, FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
01428D4728	4		NS_SPRJ::SprjHkAiNvmRepositorySeed	NS_SPRJ::SprjHkAiNvmRepositorySeed: FD4::FD4ResRepSeed, FD4::FD4ResCapSeed, FD4::FD4ResCapHolderItemSeed;
01428D48B0	2		NS_SPRJ::SprjHkAiNvmResCap	NS_SPRJ::SprjHkAiNvmResCap: FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
01428D4A38	4		NS_SPRJ::SprjHkAiNvmResCapSeed	NS_SPRJ::SprjHkAiNvmResCapSeed: FD4::FD4ResRepSeed, FD4::FD4ResCapSeed, FD4::FD4ResCapHolderItemSeed;
01428D42B8	10		NS_SPRJ::SprjHkAiNvmbndFileCap	NS_SPRJ::SprjHkAiNvmbndFileCap: FD4::FD4FileCap, FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
01428D5A00	7		NS_SPRJ::SprjHkAiPathFindingInfo	NS_SPRJ::SprjHkAiPathFindingInfo: hkaiPathRequestInfoOwner;
01428D4038	32	M	NS_SPRJ::SprjHkAiPathFollowingBehavior	NS_SPRJ::SprjHkAiPathFollowingBehavior: hkaiPathFollowingBehavior, hkaiSingleCharacterBehavior, hkaiBehavior, hkReferencedObject, hkBaseObject, hkaiPathRequestInfoOwner;
01428D4148	13	M	NS_SPRJ::SprjHkAiPathFollowingBehavior	hkaiPathRequestInfoOwner:
01428D7DF8	3		NS_SPRJ::SprjHkAiPhysicsListenerBase	NS_SPRJ::SprjHkAiPhysicsListenerBase:
01428D7FD8	9	M	NS_SPRJ::SprjHkAiPhysicsProxyListener	NS_SPRJ::SprjHkAiPhysicsProxyListener: hkaiPhysicsWorldListener, hkaiPhysicsBridgeBase, hkReferencedObject, hkBaseObject, hkaiWorld::Listener;
01428D8028	15	M	NS_SPRJ::SprjHkAiPhysicsProxyListener	hkaiWorld::Listener:
01428D6190	1		NS_SPRJ::SprjHkAiSection	NS_SPRJ::SprjHkAiSection:
01428D6370	1		NS_SPRJ::SprjHkAiUserEdge	NS_SPRJ::SprjHkAiUserEdge:
01428D8290	1		NS_SPRJ::SprjHkAiUserEdgePairInfo	NS_SPRJ::SprjHkAiUserEdgePairInfo:
01428D7058	1		NS_SPRJ::SprjHkAiWorld	NS_SPRJ::SprjHkAiWorld:
01428D85D8	5	M	NS_SPRJ::SprjHkAiWorldListener	NS_SPRJ::SprjHkAiWorldListener: hkReferencedObject, hkBaseObject, hkaiWorld::Listener;
01428D8608	15	M	NS_SPRJ::SprjHkAiWorldListener	hkaiWorld::Listener:
01428010B0	2		NS_SPRJ::SprjHkBehInitRegister	NS_SPRJ::SprjHkBehInitRegister:
01428DBCE8	13		NS_SPRJ::SprjHkBehLoader	NS_SPRJ::SprjHkBehLoader: hkbAssetLoader, hkReferencedObject, hkBaseObject;
01428DBDB8	11		NS_SPRJ::SprjHkBehScriptAssetLoader	NS_SPRJ::SprjHkBehScriptAssetLoader: hkbScriptAssetLoader, hkReferencedObject, hkBaseObject;
01428DE638	13		NS_SPRJ::SprjHkBehWorldListener	NS_SPRJ::SprjHkBehWorldListener: hkbWorldListener;
01428DD350	5		NS_SPRJ::SprjHkBehaviorStringIdSeed	NS_SPRJ::SprjHkBehaviorStringIdSeed:
01428DD838	4		NS_SPRJ::SprjHkBehaviorStringIdStep	NS_SPRJ::SprjHkBehaviorStringIdStep: NS_SPRJ::SprjStepTask<NS_SPRJ::SprjHkBehaviorStringIdStep>, FD4::FD4StepTaskBase<NS_SPRJ::SprjHkBehaviorStringIdStep>, FD4::FD4StepTemplateBase<NS_SPRJ::SprjHkBehaviorStringIdStep,FD4::FD4TaskBase>, FD4::FD4StepTemplateInterface<FD4::FD4TaskBase>, FD4::FD4TaskBase, FD4::FD4ComponentBase;
01428DC968	10		NS_SPRJ::SprjHkbScriptFileCap	NS_SPRJ::SprjHkbScriptFileCap: FD4::FD4FileCap, FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
01428DCB58	2		NS_SPRJ::SprjHkbScriptRepositoryImp	NS_SPRJ::SprjHkbScriptRepositoryImp: FD4::FD4ResRep, FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
01428DCD20	2		NS_SPRJ::SprjHkbScriptResCap	NS_SPRJ::SprjHkbScriptResCap: FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
01428DC0C8	2		NS_SPRJ::SprjHkbbehHkxRepositoryImp	NS_SPRJ::SprjHkbbehHkxRepositoryImp: FD4::FD4ResRep, FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
01428DC440	2		NS_SPRJ::SprjHkbchrHkxRepositoryImp	NS_SPRJ::SprjHkbchrHkxRepositoryImp: FD4::FD4ResRep, FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
01428DC6C0	2		NS_SPRJ::SprjHkbprjHkxRepositoryImp	NS_SPRJ::SprjHkbprjHkxRepositoryImp: FD4::FD4ResRep, FD4::FD4ResCap, FD4::FD4ResCapHolderItem;
0142918AF0	2		NS_SPRJ::SprjKeyAssign	NS_SPRJ::SprjKeyAssign: FD4::FD4BaseKeyAssign;
0142914E38	1		NS_SPRJ::SprjLoggerManagerSeed	NS_SPRJ::SprjLoggerManagerSeed: FD4::FD4LoggerManagerSeed;
01426ECCA0	6		NS_SPRJ::SprjLuaEventCondition	NS_SPRJ::SprjLuaEventCondition:
01426EE2E8	2		NS_SPRJ::SprjLuaEventConditionAction	NS_SPRJ::SprjLuaEventConditionAction: NS_SPRJ::SprjLuaEventCondition;
01426ECDF8	2		NS_SPRJ::SprjLuaEventConditionAnime	NS_SPRJ::SprjLuaEventConditionAnime: NS_SPRJ::SprjLuaEventCondition;
01426ECF08	2		NS_SPRJ::SprjLuaEventConditionBattleRoyalEnd	NS_SPRJ::SprjLuaEventConditionBattleRoyalEnd: NS_SPRJ::SprjLuaEventCondition;
01426EE4D8	2		NS_SPRJ::SprjLuaEventConditionBlood	NS_SPRJ::SprjLuaEventConditionBlood: NS_SPRJ::SprjLuaEventCondition;
01426EE5C0	2		NS_SPRJ::SprjLuaEventConditionBloodMenu	NS_SPRJ::SprjLuaEventConditionBloodMenu: NS_SPRJ::SprjLuaEventCondition;
01426EE690	2		NS_SPRJ::SprjLuaEventConditionBloodMsgGrade	NS_SPRJ::SprjLuaEventConditionBloodMsgGrade: NS_SPRJ::SprjLuaEventCondition;
01426ED0D0	2		NS_SPRJ::SprjLuaEventConditionBonfire	NS_SPRJ::SprjLuaEventConditionBonfire: NS_SPRJ::SprjLuaEventCondition;
01426EE768	2		NS_SPRJ::SprjLuaEventConditionBriefingMenu	NS_SPRJ::SprjLuaEventConditionBriefingMenu: NS_SPRJ::SprjLuaEventCondition;
01426ED530	2		NS_SPRJ::SprjLuaEventConditionDistance	NS_SPRJ::SprjLuaEventConditionDistance: NS_SPRJ::SprjLuaEventCondition;
